6769 sayılı Sınai Mülkiyet Kanunu'nun (SMK) temel amacı nedir?,"Marka, coğrafi işaret, tasarım, patent, faydalı model ve geleneksel ürün adlarına ilişkin hakları koruyarak teknolojik ve ekonomik ilerlemeye katkı sağlamak."
Patentte zorunlu lisansın en yaygın verilme nedenlerinden biri nedir?,Patent konusu buluşun haklı bir sebep olmadan kullanılmaması.
"Zorunlu lisans bedeli konusunda taraflar anlaşamazsa, bedel kim tarafından tespit edilir?",Mahkeme.
Faydalı model tescili için ek başvuru yapılması mümkün müdür?,"Hayır, ek başvuru sadece patentler için mümkündür."
Patent hakkı üzerinde 'rehin' verilmesi işlemi iyiniyetli üçüncü kişilere karşı ne zaman hüküm doğurur?,Sicile kayıt tarihinden itibaren.
Marka örneğinde Latin alfabesi dışında harf kullanılmışsa başvuruda ne belirtilmelidir?,Harflerin Latin alfabesindeki karşılığı.
Marka tescilinde 'kötüniyetle yapılan başvurular' hangi ret nedeni grubundadır?,Nispi ret nedenleri (Madde 6).
Coğrafi işaretin ürünün 'öz adına' (genel adına) dönüşmüş olduğu kabul edilebilir mi?,"Hayır, tescil edilen coğrafi işaretlerin öz adına dönüşmüş olduğu kabul edilmez."
"Biyolojik materyal içeren buluşlarda, materyalin tevdi edilmesi hangi şartı sağlamak içindir?",Buluşun yeterince açık ve tam olarak açıklanması şartını.
Patent başvurusunun yayımlanması normal şartlarda başvuru tarihinden itibaren kaçıncı ayda gerçekleşir?,On sekizinci ayda.
Bir tasarımın bilgilenmiş kullanıcı üzerinde bıraktığı genel izlenim önceki tasarımlardan farklıysa o tasarım _____ niteliğe sahiptir.,Ayırt edici
SMK uyarınca 'çalışan' tanımına kamu görevlileri dahil midir?,"Evet, kamu görevlileri de çalışan tanımı kapsamındadır."
Patent başvurusu için gerekli unsurlardan biri olan 'Özet'in temel amacı nedir?,Sadece teknik bilgi vermek (koruma kapsamını belirlemede kullanılmaz).
"Yenilenmeyen bir markanın koruma süresi bittikten sonra, aynı/benzer marka başvurusu kaç yıl boyunca önceki hak sahibi tarafından engellenebilir?",İki yıl (önceki markanın kullanılmış olması şartıyla).
Geleneksel ürün adlarının amblemsiz kullanımı SMK hükümlerine tabi midir?,"Hayır, amblemsiz kullanım SMK hükümlerine tabi değildir."
"Tasarım hakkına tecavüz davalarında, ürün üzerinde tescil kaydı bulunmaması eylemi tecavüz olmaktan çıkarır mı?","Hayır, çıkarmaz; ancak kusur değerlendirmesinde dikkate alınır."
"Zorunlu lisans alan kişinin, lisans konusu ürünü 'ithal etme' yetkisi genel olarak var mıdır?","Hayır, sadece kamu yararı gerekçesiyle verilen lisansta açıkça yetki verilmişse mümkündür."
Patent başvurusunda 'buluş bütünlüğü' neyi ifade eder?,Başvurunun tek bir buluşu veya tek bir genel buluş fikrini oluşturan buluşlar grubunu içermesini.
Marka başvurusunda 'muvafakatname' (noter onaylı) sunulması hangi engeli aşabilir?,Önceki tarihli aynı/benzer marka nedeniyle mutlak ret (Madde 5/1-ç) engelini.
"SMK Book 4 uyarınca, sanayinin herhangi bir dalında üretilebilir veya kullanılabilir olan buluşlar _____ özelliğine sahiptir.",Sanayiye uygulanabilir
"Paris Sözleşmesi kapsamındaki rüçhan hakkı belgeleri, marka başvurusu tarihinden itibaren kaç ay içinde sunulmalıdır?",Üç ay.
Kamuya sunma; tasarımın gizlilik şartıyla üçüncü bir kişiye açıklanmasını kapsar mı?,"Hayır, gizlilik şartıyla yapılan açıklama kamuya sunma sayılmaz."
Tescilli coğrafi işaretlerin denetim raporları kaç yılda bir Kuruma sunulur?,Yılda bir.
Tasarım başvurusunda 'görsel anlatım' üzerinde yer alan yazılı ibareler inhisari hak sağlar mı?,"Hayır, ifade ettikleri kavramlar üzerinde inhisari hak sağlamazlar."
Patent isteme hakkı kime aittir?,Buluşu yapana veya onun haleflerine.
Öğrencilerin ve stajyerlerin yükseköğretim kurumlarında yaptığı buluşlarda SMK'nın hangi hükümleri uygulanır?,Çalışanların buluşlarına ilişkin hükümler.
Zorunlu lisansın iptali hangi durumda mahkemeden istenebilir?,Zorunlu lisansın verilmesine neden olan şartların sona ermesi halinde.
Marka tecavüzü davalarında 'şikayet' şartı var mıdır?,"Evet, cezai hükümlerin uygulanması şikayete bağlıdır."
"Bir patentin hükümsüzlüğüne karar verilmesi, ek patentlerin de mutlaka hükümsüz olması sonucunu doğurur mu?","Hayır, ek patentlerin bağımsız patente dönüştürülmesi talep edilebilir."
"Tescilsiz bir markanın sağladığı haklar, sonraki tarihli bir marka başvurusuna karşı nasıl ileri sürülür?",İtiraz yoluyla (Madde 6/3).
"SMK uyarınca, 'Kurul' hangi daire başkanlığı bünyesinde yer alır?",Yeniden İnceleme ve Değerlendirme Dairesi Başkanlığı.
