Coğrafi işaret başvurusunun Bültendeki yayımında denetimle ilgili hangi detay yer almalıdır?,Denetim biçiminin ayrıntılı açıklaması.
Geleneksel ürün adı başvurusunun Bültendeki yayımında ürünün hangi özelliğini sağladığına dair bilgi yer alır?,Kanunun 34. maddesinin üçüncü fıkrasındaki koşullardan en az birini sağladığı.
"Başvuru sahibi, reddedilen bir başvuruya karşı kararın bildiriminden itibaren ne kadar sürede itiraz edebilir?",İki ay.
"Üçüncü kişiler, bir başvurunun tescil talebine karşı Bülten yayımından itibaren ne kadar sürede itiraz edebilir?",Üç ay.
İtiraza karşı başvuru sahibinin görüş bildirmesi için tanınan süre nedir?,Tebliğ tarihinden itibaren bir ay.
İtirazın incelenmesi sırasında Kurulun talep ettiği ek belgeler ne kadar sürede sunulmalıdır?,Bildirim tarihinden itibaren bir ay.
Uzlaşma davetine taraflardan biri ne kadar sürede cevap vermelidir?,Bildirimden itibaren bir ay.
Taraflar arabulucuya başvuracaklarını bildirirse itiraz incelemesi ne kadar süreyle ertelenir?,Üç ay.
"Arabuluculuk sonucunda düzenlenen tutanak, faaliyet sona erdikten sonra ne kadar sürede Kuruma verilmelidir?",Bir ay.
Hakkında itiraz yapılmamış bir başvurunun tescil ücreti bildirimden itibaren ne kadar sürede ödenmelidir?,İki ay.
Coğrafi işaret tescil belgesinde ürünün coğrafi sınırları ile ilgili hangi doküman yer alır?,Coğrafi alanın sınırları.
Hangi nedenlerle tescilli bir coğrafi işaretin özelliklerinde değişiklik talep edilebilir?,"İklim değişikliği, teknolojik gelişmeler ve yeni üretim metotları."
Kesinleşen ve Sicile kaydedilen değişiklikler ilgililer tarafından en geç ne kadar sürede uygulanmalıdır?,Yayım tarihinden itibaren bir yıl içinde.
Tescil ettirenin kimliğiyle ilgili değişiklik beyanları nereye sunulmalıdır?,İmzalı değişiklik formu ile Kuruma sunulur.
Registrant değişikliği yayımını takip eden hangi sürede yeni adaylar talepte bulunabilir?,Üç aylık süre içinde.
Registrant değişikliği için birden fazla talep varsa Kurum hangi kriteri dikkate alır?,Denetim faaliyetini etkin yerine getirme ve üreticileri temsil etme yeterliliği.
"Tedarik zincirinde yer alıp ürün özelliklerine etkisi olanlar, tescil ettirene ne kadar sürede bildirimde bulunmalıdır?",Faaliyete başlama tarihinden itibaren altı ay içinde.
Yalnızca hangi faaliyette bulunanların tescil ettirene bildirim zorunluluğu yoktur?,Yalnızca satış faaliyetinde bulunanların.
Coğrafi işaretlerde amblem kullanımı isteğe bağlı mıdır?,"Hayır, amblemin kullanılması zorunludur."
Geleneksel ürün adının amblemsiz kullanımı hangi hükümlere tabi değildir?,Kanun ve Yönetmelik hükümlerine tabi değildir.
Denetim merciinin sahip olması gereken temel nitelikler nelerdir?,"Objektif olması, yetkin personeli, gerekli kaynak ve donanıma sahip olması."
"Tescil ettiren, denetim raporlarını Kuruma ne sıklıkla sunmalıdır?",Yılda bir.
Denetim raporlarındaki eksikliklerin giderilmesi için Kurum ne kadar süre tanır?,Altı ay.
"Tescil ettiren, denetim masraflarını kimden talep edebilir?",Denetlenenlerden.
Tescil ettirenin haklarından vazgeçme talebi uygun bulunursa ne zaman hüküm doğurur?,Sicile kayıt tarihi itibarıyla.
Tasarım tescili için başvuru tarihi neye göre belirlenir?,Başvuru formu ve gerekli belgelerin Kurum tarafından alındığı tarihtir.
Tasarım başvurusunda tasarımcının isminin gizli tutulması talep edilebilir mi?,"Evet, tasarımcı isminin gizli tutulmasını talep edebilir."
Tasarım başvurusundaki görsel anlatımların boyut sınırları nedir?,"En az $8 \times 8$ cm, en fazla $16 \times 16$ cm."
Tasarım başvurusu Kuruma hangi yöntemle sunulmalıdır?,Elektronik ortamda doldurulan başvuru formu ile.
Geleneksel ürün adı başvurularında hammadde özelliklerinin yanında hangi metodun açıklanması gerekir?,Üretim metodu.
Coğrafi işaret başvurularında ürünün tarihsel geçmişine ilişkin belgeler zorunlu mudur?,"Evet, tarihsel geçmişe ilişkin bilgi ve belgeler zorunludur."
Denetim tutanağında denetlenen ürüne ait hangi spesifik bilgiler yer almalıdır?,"Miktar, parti numarası ve benzeri bilgiler."
"Tescil ettiren, denetim sonuçlarına göre tescile aykırılık tespit ederse ne yapmalıdır?",Gerekli yasal yollara başvurur.
Vazgeçme talebi vekil aracılığıyla yapılıyorsa hangi ek belge sunulmalıdır?,Vazgeçme yetkisini içeren noter onaylı vekâletname.
"Tasarım başvurusunda, tescil isteme hakkının tasarımcıdan nasıl elde edildiği belirtilmeli midir?","Evet, başvuru sahibi tasarımcı değilse bu bilgi sunulmalıdır."
Tasarım başvurusu kapsamında isteğe bağlı olarak sunulabilecek unsur nedir?,Tarifname.
Coğrafi işaret ürün gruplarından 'halılar ve kilimler' hangi bentte yer alır?,(l) bendi.
Tescil belgesinde hata bulunması durumunda kimler değişiklik talebinde bulunabilir?,Menfaati bulunanlar.
Coğrafi işaret başvurularında ürünün mikrobiyolojik özellikleri teknik belgelerde yer almalı mıdır?,"Evet, teknik bilgi ve belgeler kapsamında yer alması zorunludur."
"Denetim raporunda, tescile aykırılık nedeniyle başvurulan hangi yollar belirtilmelidir?",Yasal yollar.
Kurumun itirazların kısmen kabulü kararlarında iade işlemi yapılır mı?,"Hayır, kısmen kabul kararlarında iade işlemi yapılmaz."
Tasarımcının kimlik bilgileri nerede yer alır?,"Sicilde, rüçhan belgelerinde ve Bülten yayımında."
"Görsel anlatım, tasarımın hangi özelliklerini yansıtmalıdır?",Görsel özelliklerini.
Başvuru ücretinin ödenmemesi durumunda tasarım başvurusuna ne olur?,Başvuru işlemden kaldırılır.
Coğrafi işaret sicil kaydında hangi bilgiler bulunur?,Tescil belgesindeki bilgiler yer alır.
"Arabuluculuk süreci, hak düşürücü sürenin hesaplanmasında dikkate alınır mı?","Hayır, dikkate alınmaz."
İtiraz formunun elektronik ortamda doldurulması zorunlu mudur?,"Evet, imzalı formun elektronik ortamda doldurulması gerekir."
"Menşe adı başvurularında, ürünün niteliği ile hangi alan arasındaki bağ kanıtlanmalıdır?",Söz konusu coğrafi alan.
Denetim tutanağının kaç nüsha imzalanması gerekir?,İki nüsha.
Hangi ürün grubu (g) bendinde 'yiyecekler için çeşni/lezzet vericiler' ile birlikte yer alır?,Soslar ve tuz.
"Tescilli bir coğrafi işaretin kullanım hakkı olanlar, işletmede amblemi nasıl bulundurmalıdır?",İşletmede kolayca görülecek şekilde.
Yabancı başvurularda kaynak ülkenin 'Türkiye kaynaklı başvurulara' ne sağladığı belgelenmelidir?,Eşit koruma sağladığı.
"Vazgeçme talebi eksikse, eksikliklerin giderilmesi için ne kadar süre verilir?",İki ay.
Tasarım tescilinde 'tasarımcı' tanımı nedir?,Korumaya konu olan tasarımı tasarlayan kişidir.
Kanunun 5. maddesi kapsamında kullanıma dayalı ayırt edicilik iddiası kabul edilirse ücret iadesi yapılır mı?,"Hayır, iade işlemi yapılmaz."
Geleneksel ürün adı için denetim biçimi hangi madde hükmüne uygun olmalıdır?,45 inci madde.
Ürünün tek üreticisi olunması halinde başvuru sırasında ne yapılmalıdır?,Bu hususu ispatlayan bilgi ve belgeler sunulmalıdır.
Denetim planı kim tarafından oluşturulur?,Denetim merci tarafından.
Denetim raporları Kuruma ne zaman sunulmaya başlar?,Tescilin Bültende yayımlandığı tarihte.
Tasarım başvurusu birden fazla kişi tarafından yapılmışsa ne belirtilmelidir?,Hangi tasarımların kimler tarafından yapıldığı.
Coğrafi işaret başvurularında vekil kullanılıyorsa hangi bilgiler verilmelidir?,Vekilin kimlik ve iletişim bilgileri.
İtirazın incelenmesi sonucunda başvuruda değişiklik yapılırsa bu değişikliğe itiraz edilebilir mi?,"Hayır, bu yayıma itiraz edilemez."
Geleneksel ürün adı tescil numarasının yer aldığı belge nedir?,Tescil belgesi.
Değişiklik talebinde bulunan tescil ettiren değilse Kurum kime bildirim yapar?,Tescil ettirene.
Geleneksel ürün adında özel ambalajlama usulleri varsa bu bilgi nerede belirtilir?,Başvuru kapsamında Kuruma sunulur.
Tasarım başvurusunda yayım erteleme talebi varsa ne sunulmalıdır?,54 üncü maddede belirlenen şartları taşıyan numune.
"Kurum, tescil ettirenden denetim faaliyetine ilişkin ne talep edebilir?",Ek bilgi ve belge.
Coğrafi işaret tanımı gereği ürünün hangi özelliklerinden biri alan ile bağlanmalıdır?,"Niteliği, ünü veya diğer özellikleri."
Başvuru sahibi gerçek kişi ise kimlik bilgilerine ek olarak ne vermelidir?,İletişim bilgileri.
